,域名数,网页数,互联网宽带接入端口数,居民平均每百户年末计算机拥有量,每百家企业拥有网站数,软件业务收入,软件产品收入,信息技术服务收入,信息安全收入,嵌入式系统软件收入,软件业务出口
0.00 ,1.20 ,1.95 ,0.58 ,2.07 ,1.53 ,1.66 ,1.67 ,1.93 ,0.31 ,0.00 ,2.02 
1.00 ,1.13 ,2.00 ,0.63 ,2.18 ,1.41 ,2.03 ,2.34 ,2.21 ,1.57 ,0.01 ,2.57 
2.00 ,1.15 ,2.11 ,0.73 ,2.18 ,1.30 ,2.25 ,1.89 ,2.77 ,0.16 ,0.01 ,2.33 
3.00 ,1.21 ,2.25 ,0.73 ,2.03 ,1.30 ,2.76 ,2.37 ,3.32 ,1.82 ,0.03 ,2.69 
4.00 ,1.06 ,2.41 ,0.79 ,2.01 ,1.23 ,3.06 ,2.34 ,3.82 ,1.68 ,0.00 ,2.90 
5.00 ,0.99 ,2.54 ,0.80 ,1.69 ,1.37 ,3.70 ,2.86 ,4.63 ,0.84 ,0.01 ,4.40 
6.00 ,0.38 ,0.17 ,0.61 ,0.72 ,0.98 ,0.03 ,0.03 ,0.04 ,0.05 ,0.00 ,0.00 
7.00 ,0.81 ,0.16 ,0.65 ,0.70 ,0.91 ,0.04 ,0.04 ,0.04 ,0.03 ,0.00 ,0.00 
8.00 ,0.73 ,0.16 ,0.69 ,0.75 ,0.87 ,0.04 ,0.01 ,0.05 ,0.02 ,0.00 ,0.00 
9.00 ,0.35 ,0.17 ,0.76 ,0.77 ,0.84 ,0.03 ,0.01 ,0.04 ,0.02 ,0.00 ,0.00 
10.00 ,0.28 ,0.17 ,0.83 ,0.79 ,0.71 ,0.04 ,0.02 ,0.06 ,0.03 ,0.00 ,0.00 
11.00 ,0.22 ,0.18 ,0.98 ,0.76 ,0.68 ,0.05 ,0.02 ,0.07 ,0.03 ,0.00 ,0.00 
12.00 ,0.10 ,0.01 ,0.42 ,0.96 ,1.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 
13.00 ,0.23 ,0.02 ,0.43 ,0.95 ,0.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
14.00 ,0.16 ,0.02 ,0.45 ,0.98 ,0.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 
15.00 ,0.10 ,0.02 ,0.55 ,0.85 ,0.84 ,0.10 ,0.00 ,0.15 ,0.00 ,0.00 ,0.00 
16.00 ,0.13 ,0.02 ,0.54 ,0.85 ,0.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
17.00 ,0.10 ,0.02 ,0.56 ,0.75 ,0.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
18.00 ,3.61 ,10.09 ,0.64 ,1.90 ,1.46 ,3.34 ,4.23 ,3.35 ,8.08 ,0.12 ,1.97 
